,0
435,CAICEDO : A : Lazio : 6
436,CALAIO' : A : Parma : 1
437,CALLEJON : A : Napoli : 21
438,CAMPBELL : A : Frosinone : 12
439,CAPRARI : A : Sampdoria : 10
440,CAPUTO : A : Empoli : 14
441,CASTILLEJO : A : Milan : 16
442,CERAVOLO : A : Parma : 10
443,CERRI : A : Cagliari : 7
444,CIANO : A : Frosinone : 10
445,CIOFANI D : A : Frosinone : 6
446,COLIDIO : A : Inter : 1
447,CRISTIANO RONALDO : A : Juventus : 49
448,CUTRONE : A : Milan : 17
449,DA CRUZ : A : Parma : 5
450,DALMONTE : A : Genoa : 1
451,DAMASCAN : A : Torino : 1
452,DEFREL : A : Sampdoria : 20
453,DESTRO : A : Bologna : 13
454,DI FRANCESCO F : A : Sassuolo : 14
455,DIONISI : A : Frosinone : 11
456,DJORDJEVIC : A : Chievo : 11
457,DYBALA : A : Juventus : 36
458,DZEKO : A : Roma : 35
459,EDERA : A : Torino : 4
460,EL SHAARAWY : A : Roma : 16
461,FALCINELLI : A : Bologna : 16
462,FARIAS : A : Cagliari : 12
463,FAVILLI : A : Genoa : 10
464,FLOCCARI : A : SPAL : 5
465,GERVINHO : A : Parma : 10
466,GOMEZ A : A : Atalanta : 23
467,GRAICIAR : A : Fiorentina : 1
468,HIGUAIN : A : Milan : 33
469,IAGO FALQUE : A : Torino : 25
470,ICARDI : A : Inter : 39
471,IMMOBILE : A : Lazio : 41
472,INGLESE : A : Parma : 13
473,INSIGNE : A : Napoli : 27
474,JAKUPOVIC : A : Empoli : 1
475,KEAN : A : Juventus : 7
476,KEITA B : A : Inter : 19
477,KLUIVERT : A : Roma : 18
478,KOUAME' : A : Genoa : 3
479,KOWNACKI : A : Sampdoria : 11
480,LA GUMINA : A : Empoli : 12
481,LAPADULA : A : Genoa : 12
482,LASAGNA : A : Udinese : 22
483,LERIS : A : Chievo : 1
484,LOMBARDI : A : Lazio : 3
485,MACHIS : A : Udinese : 12
486,MANDZUKIC : A : Juventus : 18
487,MARTINEZ L : A : Inter : 17
488,MATRI : A : Sassuolo : 3
489,MCHEDLIDZE : A : Empoli : 5
490,MEDEIROS : A : Genoa : 11
491,MEGGIORINI : A : Chievo : 6
492,MERTENS : A : Napoli : 31
493,MICIN : A : Udinese : 1
494,MILIK : A : Napoli : 26
495,MIRALLAS : A : Fiorentina : 14
496,MONCINI : A : SPAL : 3
497,MRAZ : A : Empoli : 7
498,ODGAARD : A : Sassuolo : 1
499,OKWONKWO : A : Bologna : 5
500,ORSOLINI : A : Bologna : 3
501,OUNAS : A : Napoli : 7
502,PALACIO : A : Bologna : 8
503,PALOSCHI : A : SPAL : 13
504,PANDEV : A : Genoa : 9
505,PARIGINI : A : Torino : 7
506,PAVOLETTI : A : Cagliari : 17
507,PEDRO NETO : A : Lazio : 1
508,PELLISSIER : A : Chievo : 3
509,PERICA : A : Frosinone : 12
510,PETAGNA : A : SPAL : 15
511,PIATEK : A : Genoa : 13
512,PINAMONTI : A : Frosinone : 7
513,PJACA : A : Fiorentina : 16
514,POLITANO : A : Inter : 15
515,PUCCIARELLI : A : Chievo : 4
516,PUSSETTO : A : Udinese : 12
517,QUAGLIARELLA : A : Sampdoria : 28
518,RIGONI E : A : Atalanta : 11
519,RODRIGUEZ A : A : Empoli : 2
520,ROSSI A : A : Lazio : 1
521,SALCEDO MORA : A : Inter : 1
522,SANTANDER : A : Bologna : 10
523,SAU : A : Cagliari : 9
524,SCHICK : A : Roma : 17
525,SILIGARDI : A : Parma : 7
526,SIMEONE : A : Fiorentina : 26
527,SOTTIL : A : Fiorentina : 2
528,SPROCATI : A : Parma : 1
529,STEPINSKI : A : Chievo : 13
530,SUSO : A : Milan : 21
531,TEODORCZYK : A : Udinese : 12
532,THEREAU : A : Fiorentina : 13
533,TROTTA : A : Sassuolo : 8
534,TUMMINELLO : A : Atalanta : 8
535,UNDER : A : Roma : 21
536,VIZEU : A : Udinese : 9
537,VLAHOVIC : A : Fiorentina : 1
538,YOUNES : A : Napoli : 3
539,ZAPATA D : A : Atalanta : 26
540,ZAZA : A : Torino : 22
